beta,window mask,door mask,window rect,door rect
0.0005,0.43303999304771423,0.10650695860385896,0.010791284032166004,0.0
0.001,0.3298068642616272,0.07359454035758972,0.0,0.0
0.002,0.4655287563800812,0.14691020548343658,0.342266708612442,0.0
0.005,0.4515582919120789,0.13425400853157046,0.38635385036468506,0.1037733405828476
0.01,0.3382793664932251,0.0890592411160469,0.12857940793037415,0.0
0.02,0.420118659734726,0.07035602629184723,0.3450707197189331,0.005367032717913389
0.05,0.4442376494407654,0.06148717924952508,0.38359832763671875,0.029040105640888214
0.1,0.2749238610267639,0.0499429814517498,0.3864653408527374,0.012328668497502804
0.2,0.4174860417842865,0.037564177066087716,0.3635815978050232,0.0
